username,rating,comment,timestamp
r*****o,5,The quality of the item is good. The amount of item is sufficient. It fits perfectly on my personal item. Will recommend and order again. The delivery of the item is also top notch. The packaging as well.,2024-08-13 04:45:56
just_justin3,5,"Performance:Good
Best Feature:Sound
Product Quality:Good

Thank you seller kasi maganda ang item tas mura pa may freebies din maraming salamat sorry sa late rate Godbless",2024-03-12 23:26:26
lunacat22,5,"Best Feature:music notes are very distinct; voice is easy to understand and not muffled
Performance:crisp, clear sound quality
Product Quality:very good

Thank you seller and delivery driver. Package was secure and delivered on time.",2024-03-19 09:50:05
a*****e,5,"Product Quality:Excellent

Thank you for the cute freebie... I like it a lot. The earphones sounds like the original samsung earphones. Noise cancelling is its best feature by the way.",2023-12-12 11:58:57
a*****z,5,"Performance:good
Best Feature:good
Product Quality:good

Gumagana naman sya at maayos din ang tunog. Thank you seller at thank you din kay kuya na nag deliver keep safe po lage",2024-01-10 12:21:41
k*****i,5,"Performance:the volume is loud enough
Best Feature:loud bass
Product Quality:the mic is working well

The item was delivered earlier than expected.There is a cute stand freebie given and also it was safely packed. Thank you so much seller for affordable earphones.",2023-12-05 07:40:22
helios_41,5,"Product Quality:Good
Performance:Excellent
Best Feature:Good

Maganda siya, nakabubble rap and then mabilis dumating",2024-05-13 13:07:02
,5,The seller shipped out my order right away and the items arrived complete and in great working condition without any damage.,2023-12-19 01:45:31
a*****z,5,"Product Quality:good
Performance:good
Best Feature:good

Favorite ko talaga yong store na to kasi orig talaga mga bini binta nila. Thank you seller at thank you din kay kuya na nag deliver",2024-07-09 13:05:08
g*****a,5,"Product Quality:excellent
Performance:excellent
Best Feature:excellent

Thank you so much seller its been my 3rd time to order in this shop...sobrang quality and affordable sulit 👍 Godbless seller and rider 🫡",2024-09-17 08:13:26
p*****5,5,"Product Quality:ok
Performance:ok
Best Feature:ok

The earphones that we bought are working fine. Aside from the earphone, there are also bonus item, the cellphone holder.",2024-01-12 23:21:59
a*****e,5,"I recently purchased a pair of earphones, and I am absolutely thrilled with my experience! From the moment I clicked ""buy,"" I was impressed. They arrived at my doorstep within just a couple of days, far exceeding my expectations. The packaging was sleek and professional, ensuring the earphones were well-protected during transit. The sound quality is outstanding—crisp highs, deep bass, and a balanced midrange that makes every genre of music enjoyable. I've used them for everything from casual listening to intense workouts, and they’ve held up beautifully.
The battery life is impressive, lasting all day without needing a charge. Overall, I couldn't be happier with this purchase. The combination of quick delivery and exceptional product quality has made me a loyal customer. Highly recommended for anyone in need of reliable earphones!",2024-09-04 06:23:14
i*****0,5,"Best Feature:Good sound, it is loud
Performance:Good Sound
Product Quality:it is okay

Maganda, di tunog lata
Malakas tunog
Might change my review if di tumagal
Love the freebies",2024-10-27 09:17:57
k*****m,5,"Performance:working malakas
Best Feature:tagal masira tapos orig
Product Quality:original naman

Tagal nito kumpara sa iba kaha dito ako madalas bumili stock or pag nawala ko haha",2024-06-24 19:14:14
k1h_0lv6km,5,"Product Quality:sobrang tibay
Performance:long lasting hindi sisirain
Best Feature:di madaling masira

Original talaga so salamat seller sana next time mas goods freebie regular costumer na ako ee hahaha",2024-02-20 10:10:17
o*****r,5,"Product Quality:👍
Performance:👍
Best Feature:quality at low price

Thank you seller🙏 fast s.o.,  well-packed, complete, correct variations  and colors, sealed, and  wd 2 freebies🥰  thank you, too SPX and rider for parcel's safe delivery🙏",2024-10-18 14:39:27
m*****5,4,"Product Quality:good
Performance:good
Best Feature:good

Ok nman boo ung sound.  Thank you seller. God bless ❤",2024-07-09 07:04:00
saimahmadid490,5,"Product Quality:Good
Best Feature:very satisfied
Performance:Good

Maganda siya at gumagana, at diko iniixpect na may pa freebie si seller, thank you po at kay rider. 😊",2024-08-24 00:45:31
rookieshaker,5,"Product Quality:9/10
Performance:9/10
Best Feature:9/10

2nd time to order Lagi may freebie na stand nkakatuwa kahit overseas undestndabk Ang time ng delivery salamat seller stay safe",2024-07-02 13:08:19
i*****s,5,Arrived safely. No issues. Works both earbuds naman. Pwedeng pwede na for its cheap price. I even received a freebie pa. Thank you!,2024-08-30 16:02:03
c2evertym,5,"Product Quality:Great
Best Feature:No Damage
Performance:Great

Nice product. It works and it has free phone stand.",2024-10-04 22:47:56
i*****s,5,"Arrived safely with a freebie. Bought for the nth time so this shop is tried and tested for working Samsung earphones.

Thanks!",2024-08-05 15:58:19
jonasjohnesmaya,5,"Product Quality:good
Best Feature:good
Performance:good

The sound is good well pack it safe to deliver thanks seller.",2024-07-08 12:03:29
kylieeeeetoot1234,5,"Performance:works fine
Best Feature:wrapped well
Product Quality:it's gonna last long with care

Thank you seller thanks shopee rider. I love  Shopee super nice hehehe♥️♥️♥️♥️",2024-02-17 05:53:49
m*****9,5,"Performance:Quality look
Best Feature:Sounds like original
Product Quality:All good

3rd time ko na ata ng order dito kasi super ganda ng quality ng headset nila kahit di siya totally original. Both are working and correct color din naman ung na deliver. Same freebies before.hehe thank you again seller and more orders to come! 🙂 God bless

Will order again soon if needed na ulit. And I will highly recommend this page to my friend/s who needs a cheaper but quality sound headset 👌",2024-06-07 10:35:12
jhoninda,5,"Best Feature:10/10
Performance:10/10
Product Quality:10/10

Salamat seller ang ganda po ng item order ako uliT sasusunoD..",2024-10-25 07:42:35
b*****8,5,"Performance:10/10
Best Feature:10/10
Product Quality:10/10

Parang original lang. Tiwala na ako dito at pang ilang beses ko na rin bili. Nagtatagal ng ilang buwan talaga eh. Thank you!",2023-12-29 05:40:59
chongradjaie,5,"Product Quality:niceone
Performance:good
Best Feature:good

Legit na legit parang orig tlaga at thankyou seller sa freebies

100%legit",2024-07-24 13:55:37
ramelguevarra700,5,"Product Quality:good
Performance:good

Ok na ok po sya super bass po masarap pakingan na music",2024-05-30 07:39:22
247jmpkwwe,5,"Performance:good
Product Quality:good

nice",2024-10-14 00:47:56
f*****r,5,"Product Quality:excellent
Performance:both ears are working
Best Feature:good for music

The earphones I received have great quality. It is good for its price. Thank you so much.",2024-07-13 09:55:13
3*****k,5,"Product Quality:amazing product. sobrang original matagal sakin to mga 1 year
Performance:hmmm malakas.... Hindi binigo
Best Feature:mouthpiece are fine..... sobrang worth it",2024-05-05 03:41:46
zang_33,5,"Product Quality:high quality headset sounds good ❤️❤️❤️❤️
Performance:super ❤️❤️❤️❤️❤️❤️❤️

highly recommended shop ❤️❤️❤️ 
thank u for the freebies too❤️❤️❤️❤️❤️",2024-04-12 08:26:54
p*****g,5,"Performance:Good
Product Quality:Good

Gooddddd qualityyyyy syyaaa guyssssssssss, sulittttt kaya bili na kayo......... Buy more Ang eababbbbbb.",2024-10-22 12:05:23
i*****s,5,"Arrived safely with a freebie. No issues. Works perfectly. Bought twice from this store so, tried and tested na talaga. Bought another one lang ulit for reserve earphones. Thank you so much! Will buy some more ulit next time.",2024-04-14 09:29:09
mmshipharmacist,5,"Product Quality:okay for its price

In terms of sound quality, these earphones perform well for their price point. The audio is clear and balanced, making them a great option for everyday use. If you're looking for a budget-friendly pair of earphones with decent sound quality, the Samsung 3.5mm jack earphones are a solid choice. Also,i appreciate the free cellphone stand. Thank you,Seller!",2024-05-21 04:04:57
a*****z,5,"Thank you seller ♥️❤️💖 & for the freebies
Goplatform. When someone searches for a business in or looks for directions in reviews are one of the first things they will see.
All you need to have to leave a review is a Google account, and it is a free service. The popularity ofas a search engine and means that these reviews are much more widely read than those on websites like Trustpilot.",2024-01-15 05:05:56
lablyjeanlipio,5,"Product Quality:10
Performance:10
Best Feature:10

nag ganda at malakas siya parang original 😊",2024-08-24 10:49:18
cee_ey,5,"Performance:⭐⭐⭐⭐⭐
Product Quality:⭐⭐⭐⭐⭐

The quality of the sound is amazing for an affordable price. The mic also works. It doesn't have a volume control but that's ok. Thank you seller for sending the correct item and for the freebie!",2024-04-10 06:42:57
lourdes.recto0615,5,"Performance:very good
Product Quality:ok naman ang quality
Best Feature:the sound it releases is nice

Thank you kay seller at sa kuya rider bilis dumating ng parcel ko.",2024-10-10 12:39:08
rojeanmaesua,5,"Best Feature:10
Product Quality:10
Performance:10

Good",2024-07-26 00:34:04
roseannfalcasantos,5,"Product Quality:Good
Performance:Good

Subrang ganda at sakto binigay niya Yong g order ko thank you seller",2024-03-10 03:28:14
