Username,Rating,Date and Time,Comment,Sentiment
k*****n,5,2024-02-24 16:10,"PerformanceNice
Best Featureamoled and battery
Product Qualityvery nice

Super legit mabait si seller  recommended ko si seller nagrereply agad first time ko bumiii sa kanila pero hindi naman ako nabigo thanks seller",2
jrsamson1004,5,2024-06-14 06:04,"PerformanceVery Smooth
Product QualityGreat
Best FeatureCamera

Delivery was fast It only took 2 days to deliver and the item is well packed The phone os really great I like it Seller also included freebies So nice of the seller to include in some as well",2
hazel_ladines,5,2024-06-25 21:36,"Performancesmooth
Best Feature120hz amoled display 33w charging

i bought this as a spare phone exceed my expectations got this for only 8316 pesos thankyou MiDigits  napaka gandaaaa smooth gamitin
but dont expect too much sa camera mas prefer ko pa rin ang main phone ko na Samsung",2
hazelfajardo08,5,2024-04-01 21:16,"PerformanceSo far good
Product Qualityit was good legit 256 GB
Best FeatureTHE BEST din

Legit store 
I did COD to make sure got it also in a good condition no damage 
Got it alao with discount unlik sa physical Store walang discount wala pa freebies
Thanks seller",2
winmar25,5,2024-06-20 02:04,"Performance1010
Product Quality1010
Best Feature1010

100 Legit salamat po seller ang bilis dumating na ship sya June 15  Saturday dumating Tuesday June 18 From Luzon to Visayas  nabili ko sa halagang 6426 lang",2
badethe,5,2024-07-19 03:51,"Product QualityGood
PerformanceExcellent
Best FeatureAMOLED display 108MP main camera

Great 2024 budget smartphone good enough for a daily driver Vivid and crisp AMOLED display good enough 108MP main camera for adequate light scenes but nightlow are still hit or miss Confirmed app tests hardware specs with Antutu widevine L1 with DRMinfo and fast charging with Ampere MiUI successfully updated to HyperOS",2
b*****s,5,2024-10-09 10:24,"Best Featurelightweight
Performancegood
Product Qualitygood

Order received in a good condition no damages correct product item and complete Original Redmi Note 13 With free earphone Thank you seller",2
markluz81,5,2024-09-12 09:32,"Best FeatureGoods
Product QualityGoods
PerformanceGoods

The product is well packaged and very secured The performance is good indeed it is very brandnew I like it got it discounted",2
j*****l,5,2024-08-08 06:42,i reco this seller been using the phone for a week now and so ganda long story short this is a legit shop brand new pinagkaiba lang from the flagship store is that this is shipped from ph na and not china which is a good thing for me love it,2
b*****9,5,2024-05-26 09:40,"Performancegood
Best Featuregoid
Product Qualitygood

Very legit At sobrang bilis dumating Kea order nah poh keo Sobrang nice poh at mabait pah ang nag deliver",2
kiervincalangian04,5,2024-05-31 13:34,"PerformanceSmooth
Product QualityNice
Best FeatureGood

Legit guys 1 month bago ko pinag isipan nag aalangan talaga ako omorder baka fake at baka mali ipadala pero sumugal parin para sa gift talaga ng anak ko to at hindi ako nabigo guys 256gb at Super smooth lalo sa gaming malinaw din cam Hope na magtagal sakin spa later ko sya kinuha so sana magtagal skin hihi Btw ny free syang headset at case tumbs up para kay seller na mabilis din mag response sa chat",2
p*****o,5,2024-06-02 08:30,Used the voucher less 1200  worthy of the price  Will definitely order again from this store Thank you seller for this product Happy of my parcel Video not related,2
roxannemamauag,5,2024-07-24 09:42,"Best Featuregood
Product Qualitygood
Performancegood

Ok nmn ang pagdating ng items maganda at mabilis dumating Legit ang seller 2 days lang nah received nah kagad ang cp Salamat poh",2
